Treść,Kategoria
"W 2005 r. wziął udział w Mistrzostwach Świata w Montrealu, na których potwierdził swoją wysoką formę.",1
"Weryfikacja potwierdziła jednak zwycięstwo Phelpsa, który po prostu mocniej dotknął ściany, zapewniając sobie tym siódme złoto.",2
"Swoją zmianę pływak przepłynął jednak niewyobrażalnie szybko i wyprowadził drużynę na pierwsze miejsce, które udało się utrzymać Lezakowi. ",2
"Wówczas stał się gwiazdą skandalu, po tym jak ujawniono fotografię, na której palił marihuanę.",1
Otóż postanowił pobić rekord w łącznej liczbie medali zdobytych na olimpiadzie. ,1
"W sierpniu 2012 r. oficjalnie ogłosił zakończenie kariery, Igrzyska Olimpijskie w Londynie miały być więc jego ostatnimi.",1
W 2014 r. został zatrzymany przez policję za prowadzenie samochodu pod wpływem alkoholu.,1
Udało mu się jednak pokonać kryzys i powrócić do pływania. ,1
Phelps swoim zamiłowaniem do rywalizacji zmuszał rywali do dawania z siebie wszystkiego podczas każdego z wyścigów.,1
"Na łamach Metzdowd.com programista kryjący się pod pseudonimem Satoshi Nakamoto opublikował swój manifest, w którym opisał konkretne zasady działania sieci łańcuchów blockchain Bitcoin.",1
Pod koniec 2010 roku Satoshi zdecydował się opuścić projekt. Nigdy nie ujawnił swojej prawdziwej tożsamości.,1
"W zaledwie 9 dni po utworzeniu 50 Bitcoinów (BTC), Nakamoto wykonał pierwszą w historii kryptowalut transakcję Bitcoina pomiędzy własnym komputerem a komputerem Halla Fineya.",1
"Programista Laszlo Haneycz posługując się Bitcoinem, dokonał zakupu 2 pizz w restauracji Papa John‚s pizzas w Jacksonville na Florydzie, w USA.",2
"Z początkiem stycznia 2015 roku firma overstock zaczęła akceptować płatności Bitcoinem, co dało mu siłę rozpędową.",4
" Po ukończeniu studiów w 1914 r. zgłosił się do Legionów Polskich, ze względu na problemy zdrowotne został jednak przydzielony do służby sanitarnej.",1
"W 1916 r. ożenił się ze Stanisławą Gozdecką, córką lekarza ze Stryja.",1
"Pod koniec I wojny światowej, przez krótki czas, pracował jako nauczyciel w gimnazjum we Lwowie, później przeniósł się do Warszawy, gdzie w latach 1919–1921 odbywał służbę wojskową w Departamencie Gospodarczym Ministerstwa Spraw Wojskowych.",1
W 1921 r. zakończył służbę wojskową w stopniu kapitana i od tamtej pory oddał się pracy literackiej. Już od 1919 r. publikował recenzje i wiersze.,1
"Rok 1924 stał się przełomowy, ponieważ Wilam Horzyca związał się z teatrem i dołączył do zespołu Teatru im. Wojciecha Bogusławskiego w Warszawie jako członek kierownictwa i kierownik literacki. ",1
" Niestety teatr został zamknięty dwa lata później, więc Horzyca kontynuował pracę w szkole, a w 1930 r. udało mu się również zdobyć mandat poselski.",1
"W 1931 r., przyjąwszy propozycję zarządu miasta Lwowa, został dyrektorem Teatrów Miejskich (w skład których wchodziły Teatr Wielki oraz Teatr Rozmaitości). Funkcję tę pełnił przez sześć lat.",1
"Podczas wojny Horzyca pracował jako tłumacz, wykładał historię literatury na tajnych kursach, redagował konspiracyjne czasopismo „Nurt”, a także pisał dramaty o Aleksandrze Wielkim, Cezarze i Wilsonie, które niestety spłonęły podczas powstania warszawskiego.",1
"Horzyca był wzrostu średniego, raczej otyły, czy też skłaniający się ku otyłości, niż szczupły, nosił baczki, miał szczególną przez zęby wymowę, którą aktorzy chętnie dla zabawy naśladowali, rozczesywał na boki nieokreślonego koloru włosy i w zamyśleniu obgryzał paznokcie, zwracając rękę wnętrzem dłoni ku rozmówcy.",2
"Idea polskiego teatru monumentalnego wyewoluowała z europejskiego nurtu Wielkiej Reformy Teatru, sprzeciwiającego się realizmowi i konwencji teatru mieszczańskiego.",3
Horzyca wyreżyserował w Toruniu dwadzieścia sztuk. ,1
15 sierpnia 1948 r. przestał pełnić funkcję dyrektora Teatru Ziemi Pomorskiej i prawie z całym zespołem przeniósł się do Poznania.,1
"Niemcy przebudowali gmach – zlikwidowali dwa cokoły z orłami, przez co fasada optycznie się zmniejszyła, usunięto maski z belkowania nad kolumnami i secesyjne medaliony z bocznych ryzalitów.",4
"Po zakończeniu służby próbował studiować, ale po pół roku uczęszczania do Akademii Sztuk Pięknych w Wilnie musiał zaprzestać nauki z powodu braku pieniędzy (spowodowanego przejściem ojca na emeryturę).",2
"Uczył krótko w szkole w Białymstoku, a później przez dwa lata w Kołodzieży, gdzie awansował na kierownika placówki.",1
"Wendrowski przeczekał przejście frontu, a potem stopniowo angażował się w antyhitlerowską konspirację.",1
W organizacji podziemnej pełnił odpowiedzialną funkcję szefa komórki legalizacyjnej okręgu. ,1
"Pomimo wyjazdu z Białegostoku w dalszym ciągu pracował dla AK, tym razem jako kierownik komórki legalizacyjnej Inspektoratu Białostockiego AK.",1
 Podczas rozmowy wyjątkowo szybko poszedł na pełną współpracę z sowieckim kontrwywiadem wojskowym ”Smiersz” i zdekonspirował znaczną część białostockiego akowskiego podziemia.,1
Przekazał Rosjanom m.in. posiadany zbiór fotografii potrzebnych do wyrobienia fałszywych dokumentów dla konspiratorów z AK.,1
"Ubecki agent zorganizował trzy transporty samochodowe, które przewoziły ochotników w rejon Wrocławia, gdzie partyzanci NSZ mieli osłaniać podziemną radiostację i walczyć przeciwko niemieckiemu Werwolfowi.",1
"Henryk Wendrowski pojechał tam jako przedstawiciel UB i odbył rozmowę z szefem Okręgu Białostockiego Zrzeszenia „Wolność i Niezawisłość” Józefem Ochmanem, z którym dobrze znał się z czasów konspiracji.",2
"Zdołał przekonać podziemny okręg do ujawnienia, a według jego późniejszych słów w Białostockiem z konspiracji wyszło i złożyło broń około 12 tysięcy ludzi.",1
"Oglądał też „prawdziwe” skoki na zakopiańskiej Jaworzynce (Krokiew była dopiero w budowie), gdzie mógł wychwytywać i oceniać różnice w ówczesnej technice lotów.",2
" Za pierwszym razem wyskoczył przez okno z posterunku Straży w Szczyrbskim Plesie, wyleczył rany u znajomego Słowaka i dostał się do Zakopanego.",1
"W tym samym czasie Słowacy schwytali siostrę Stanisława, Helenę, podobnie jak on – kuriera tatrzańskiego.",4
"Marusarz utknął pomiędzy kratami, zwisając głową w dół.",2
" Współwięźniowie wypchnęli go, a ten, spadając, zdołał okręcić ciało i wylądować na obie nogi amortyzując uderzenie ugięciem kolan.",2
"Jego towarzysz z celi złamał przy upadku nogę, co oznaczało koniec jego ucieczki i śmierć. ",2
"Władze w Budapeszcie postanowiły stworzyć Narodowe Centrum Sportów Zimowych, „węgierskie Garmisch”, które umożliwiłby organizację międzynarodowych zawodów sportowych, a nawet Zimowych Igrzysk Olimpijskich.",4
"Jeden z niemieckich skoczków – Sepp Weiler – rozpoznał swojego dawnego rywala, ale zdobył się na ludzki gest, podał mu rękę i nie wydał go niemieckiej służbie bezpieczeństwa.",1
"Po wojnie przywrócone do Rumunii Borsafüred zmieniło nazwę na Borşa Complex i utraciło swoje znaczenie, Węgry zaś straciły szansę na zorganizowanie zimowych igrzysk.",3
"Tak jak wielu mających wtedy „kłopoty” ze Służbą Bezpieczeństwa wyjechał na tzw. Ziemie Odzyskane, do Karpacza, gdzie podobnie jak w czasie wojny pomagał w przejściu przez góry ludziom chcącym wydostać się z Polski na Zachód. ",1
"Reprezentował Polskę na Zimowych Igrzyskach Olimpijskich w Sankt Moritz (1948) i w Oslo (1952), nie tylko w skokach, ale również podczas ceremonii otwarcia Igrzysk niosąc polską flagę jako chorąży ekipy.",1
"Artysta próbował nawet tworzyć awangardowe prace poświęcone ludzkiej pracy, jak cykle Żniwiarki i Przy krosnach, ale ze względu na brak dosłowności nie znalazły uznania u komunistycznych decydentów.",1
Strzemiński nie podporządkował się doktrynie Sokorskiego i zapłacił za to śmiercią artystyczną. ,1
"Strzemiński, aby przeżyć imał się różnych zajęć, w tym malowania plakatów i projektowania sklepowych dekoracji.",1
 Również sam Jerzy w dzieciństwie udzielał się w formacjach pomocniczych AK.,1
"Zainteresowanie sportem wykazywał już od dzieciństwa. Grał w piłkę, interesował się lekkoatletyką.",2
"Zaczął nawet skakać o tyczce, jednak przygodę z tą dyscypliną zakończył po jednym z upadków, kiedy to podczas skoku tyczka uległa złamaniu.",2
Coraz bardziej skłaniał się za to ku szermierce.,2
"Z pewnością połączenie tych dwóch rzeczy zaowocowało faktem, iż Jerzy postanowił w końcu zapisać się na zajęcia z szermierki.",1
"Na pierwszy trening przyjęli go Irena Nawrocka, którą obserwował  podczas treningu oraz węgierski trener, Janos Kevey.",1
"Tym bardziej, iż ćwiczył się w dwóch broniach – szabli i florecie.",1
Wskutek zachorowania na żółtaczkę na kilka miesięcy musiał zaprzestać treningów.,2
" Z pomocą przyszli jednak polscy kibice, którzy stanęli na wysokości zadania i sami odśpiewali hymn, dając tym niezwykły dowód swego zaangażowania.",4
" Po gdańskim turnieju Pawłowski jeszcze ciężej pracował na treningach, by móc na zbliżającej się olimpiadzie w Tokio urzeczywistnić swe marzenie o olimpijskim tytule.",1
"Pawłowski zdawał sobie sprawę, iż tej szansy nie może zmarnować.",2
Po tylu latach ciężkiej pracy i wyrzeczeń był gotowy na upragniony sukces.,2
 Nie dał się ponieść nerwom i utrzymał skupienie do samego końca.,1
 Przestrzegał zasad czystej sportowej rywalizacji. ,1
W latach 1964–1974 Pawłowski związał się z wywiadem amerykańskim (CIA) pod pseudonimem „Paweł”. ,1
W wieku 57 lat Pawłowski wystartował w turnieju kadry w Łodzi.,1
Władze postanowiły więc wymazać go z pamięci społeczeństwa.,4
"Beksiński nigdy jednak nie chciał robić kariery inżyniera czy architekta, ponieważ bardziej pociągały go sztuki plastyczne.",1
"Co prawda, od 1959 r. do początku lat 70. pracował na stanowisku stylisty w Dziale Głównego Konstruktora Sanockiej Fabryki Autobusów „Autosan”, jednak zatrudnienie tam traktował jako bolesną konieczność.",1
"Kiedy sanocki twórca zyskał już sławę i stał się osobą rozpoznawalną, straszliwie zaczęły męczyć go spotkania z wielbicielami oraz wszędobylskimi dziennikarzami.",2
"Oprócz oficjalnych spotkań autorskich, Beksiński alergicznie reagował również na zaproszenia od urzędników państwowych oraz wszelkiej maści krytyków sztuki, którzy z jednej strony pragnęli go nagrodzić, z drugiej zaś ogrzać się w blasku jego geniuszu.",2
"Malarz jednak bardzo szybko wypracował odpowiednią technikę symulowania różnych chorób (czasem nie musiał nawet udawać, bo stres przed spotkaniem doprowadzał do problemów żołądkowych), ażeby skutecznie wykręcać się od uczestniczenia w tych, jak to określał, „spędach”.",1
Pod koniec życia Beksiński powrócił do eksperymentów z fotografią i był zachwycony możliwościami jakie dają nowoczesne programy graficzne do obróbki zdjęć.,2
"Po przemianach ustrojowych, kiedy w Polsce pojawiły się pierwsze sieci fast foodów, Beksiński zaczął regularnie się w nich stołować, jedząc hamburgery i opijając się colą. ",1
Po tych wydarzeniach bardzo często będzie popadał w marazm i stan przygnębienia. ,2
Coraz częściej zacznie też w irracjonalny sposób obawiać się o swoje bezpieczeństwo.,2
Zdzisław Beksiński został zamordowany w swoim warszawskim mieszkaniu w nocy z 21 na 22 lutego 2005 r.,1
Po raz pierwszy zjawił się w Polsce jeszcze przed wojną – w 1938 r.,2
"Pełnił funkcję trenera, a jednocześnie sparingpartnera naszych szermierzy. ",1
"W czasie wojny np. pomagał Polakom, którzy chcieli dostać się do Węgier przez Rumunię.",1
"Gdy na Węgry weszła Armia Czerwona, stanął w obronie starszego generała, któremu groził pluton egzekucyjny.",1
"Kevey szybko zrozumiał, że potencjał polskiej szermierki będzie musiał budować na młodych zawodnikach.",2
Po powrocie z ostatnich mistrzostw świata w Filadelfii Kevey winę za słaby wynik zrzucił na szermierzy.,1
"Kiedy jeden z zawodników zachorował, major Kevey kazał nałożyć mu dodatkowe swetry i osobiście pilnował, by przeszedł ostry trening.",1
"Sam też bardzo dbał o swoją formę. Lubił organizować długie zgrupowania sportowe, żeby zawodnik skupiał się tylko na rywalizacji i doskonaleniu techniki.",1
"Po tym jak Kevey zakończył przygodę z polską kadrą, postanowił wyjechać do Włoch, gdzie był trenerem przez prawie 10 lat.",1
"Później, po powrocie do Budapesztu, przeszedł co prawda na emeryturę, ale nie rozstał się ze sportem – ciągle trenował, a także działał w sferze teoretycznej.",1
W dniu 20 listopada 1980 r. do siedziby Regionu Mazowsze NSZZ „Solidarność” wkroczyli funkcjonariusze Służby Bezpieczeństwa oraz Milicji Obywatelskiej wraz z prokurator Wiesławą Bardonową w celu dokonania przeszukania.,4
"Funkcjonariusze Ministerstwa Spraw Wewnętrznych MSW znaleźli okólnik wydany przez prok. gen. Lucjana Czubińskiego, który był już powielany przez działaczy Związku.",4
Jednak gen. Lucjan Czubiński odrzucił propozycję rozmów i przedstawiciele ”Solidarności” nie zostali wpuszczeni do budynku prokuratury.,1
Władze Regionu Mazowsze nie dążyły do realizacji pozostałych punktów na liście żądań i zadecydowały o zakończeniu protestu. ,4
Jednak Huta Warszawa nie podporządkowała się decyzji władz regionu i kontynuowała strajk.,4
Pracownicy zakładu odmówili powrotu do pracy oraz domagali się spełnienia pozostałych postulatów.,4
Po długich negocjacjach robotnicy Huty postanowili przerwać strajk.,4
Redakcja czasopisma w następnym numerze dodatku umieściła sprostowanie.,4
"Na Śląsku przyłączonym do Prus w 1742 r. żyło wielu Polaków, którzy pomimo germanizacyjnych zapędów Niemców kultywowali tradycję swoich przodków.",4
"Podobnie było w rodzinnym domu Korfantego, który od najmłodszych lat namiętnie zaczytywał się w dziełach polskich romantyków.",4
"Podczas studiów w Berlinie zetknął ze środowiskiem socjalistów i działającym pod auspicjami Ligi Narodowej Związkiem Młodzieży Polskiej, popularnym „Zetem„.",2
Korfanty doskonale zdawał sobie sprawę z potrzeby unarodowienia tkwiącego w nihilizmie po powstaniu styczniowym polskiego społeczeństwa poprzez aktywną edukację i naukę kościoła.,2
"W piśmie tym ostro krytykował politykę pruskiego rządu, domagając się większych swobód dla Polaków.",1
Idąc za ciosem Korfanty wystartował w wyborach do Reichstagu i pruskiego Sejmu Krajowego – Landtagu.,1
Korfanty nie akceptował prorosyjskiej polityki Romana Dmowskiego obliczonej na zdobycie autonomii w Cesarstwie Rosyjskim jako pierwszego etapu w drodze do pełnej niepodległości.,1
"W swoich sejmowych przemówieniach raz po raz atakował germanizacyjną politykę Prus, domagając się większych swobód językowo-urzędniczych dla Polaków, a nawet autonomii.",1
"Bardzo nieprzychylnie był także nastawiony do Legionów Polskich walczących u boku Niemiec i Austro-Węgier, uważając je tylko za bezwolne narzędzie w rękach zaborców.",1
Za najodpowiedniejszą taktykę uważał czekanie na rozwój wypadków i pracę organizacyjną wzorem Wielkopolski.,1
 W swoich płomiennych przemowach w Reichstagu domagał się odbudowy niepodległej Polski i uwolnienia z magdeburskiej twierdzy  komendanta I Brygady Legionów ‒ Józefa Piłsudskiego.,1
"Korfanty był ustosunkowany bardzo negatywnie do jego zdaniem nazbyt socjalistycznego rządu Ignacego Daszyńskiego, w zupełności pomijającego w obsadzie ministerstw prawą stronę sceny politycznej.",1
"25 grudnia 1918 r. Korfanty powitał w Gdańsku Ignacego Paderewskiego, z którym pomimo zdecydowanego sprzeciwu Niemców udał się do Poznania żywiołowo przygotowującego się do zbrojnego wystąpienia przeciwko pruskiemu zaborcy. ",1
"Dwa dni później sprowokowani przez Niemców mieszkańcy Wielkopolski chwycili za broń, a powstanie rozszerzyło się na obszar całej Wielkopolski.",4
"Po sukcesie w Wielkopolsce Korfanty skupił się całkowicie na sprawach Górnego Śląska i urzeczywistnieniu swoich marzeń o tym, by Śląsk stał się perłą w koronie odrodzonej Rzeczpospolitej.",1
"Niedługo po wybuchu wojny, w maju 1915 r., został ciężko ranny.",2
"Podczas leczenia poznał swoją przyszłą żonę - Katarzynę Kobro, która właśnie zaczynała studia w Moskiewskiej Szkole Malarstwa, Rzeźby i Budownictwa.",2
"Uważa się, że to właśnie dzięki Kobro, która odwiedzała szpital, Strzemiński zainteresował się sztuką.",2
W tym okresie artysta zajmował wiele stanowisk w rożnych ugrupowaniach i instytucjach.,1
"Malarz prowadził wykłady na Wojskowych Kursach Maturalnych i zaczął publikować artykuły w czasopiśmie literacko-artystycznym „Zwrotnica„, założonym przez Tadeusza Peipera.",1
Rok po przyjeździe do Polski współorganizował Wystawę Nowej Sztuki w Wilnie.,1
"Wywarł ogromny wpływ na polską awangardę, artystów, idee sztuki oraz na samą Łódź, w której przez długi czas mieszkał, wykładał i tworzył.",1
Malarz opisuje w nim 11 lat swego życia od maja 1952 do września 1963 r.,2
"Malarz zresztą uwielbia wzbudzać kontrowersje dzięki ekscentrycznym twierdzeniom, czego wyraz możemy odnaleźć w wielu wspomnieniach, które przywołuje, pisząc w Port Lligat swój dziennik.",2
"Przez całe życie wydawał wszystkie zarobione pieniądze, a z racji że pracował dość wolno, musiał się uciekać do dość kontrowersyjnych metod zarabiania.",1
" Na przykład w latach 60. zezwolił na wydawanie serii grafik rzekomo „limitowanych”, będących miniaturami jego dzieł i opatrzonych jego podpisem.",1
"W rzeczywistości Dali po prostu podpisywał ogromne ilości pustych kartek, na których następnie jego współpracownicy drukowali obrazy. ",1
" Brytyjski pisarz krótko po przeczytaniu wcześniejszej autobiografii malarza, czyli Mojego sekretnego życia opisał Dalego jako zboczeńca, którego twórczość nie powinna być traktowana jako moralnie obojętna.",1
"Sam malarz natomiast określał się jako przywiązany do tradycji konserwatysta i monarchista, będący wrogiem egalitaryzmu i przeciętności, czego wyrazem jest między innymi treść Dziennika geniusza.",1
 Dbał między innymi o mogiły z okresu powstania styczniowego.,1
Ponadto w okresie nauki szkolnej działał aktywnie w harcerstwie.,1
"Swoją walkę z niemieckim najeźdźcą rozpoczął we wrześniu 1939 r., jako ochotnik w Wojsku Polskim.",1
"W nocy z 2 na 3 czerwca 1945 r. partyzanci odbili wspólnie ponad 40 więźniów, w większości aresztowanych żołnierzy polskiego podziemia.",4
"Latem 1945 r. Grabowskiemu udało się przedostać do amerykańskiej strefy okupacyjnej w Niemczech, gdzie służył przez pewien czas w Kompaniach Wartowniczych.",1
"Zawiedziony brakiem zaangażowania aliantów w sprawę polską oraz pełen tęsknoty za rodziną i ojczyzną, powrócił do kraju i ponownie podjął się działalności konspiracyjnej.",1
"Grabowski nie skorzystał z amnestii, ponieważ, jak podają Tomasz Łabuszewski i Kazimierz Krajewski, zorientował się w zamiarach komunistów i uznał amnestię za fikcję.",1
"Początkowo grupa zajmowała się działalnością wywiadowczą, organizowaniem struktury informacyjnej oraz poszukiwaniem współpracowników. Przeprowadziła jednak kilka akcji o charakterze zaopatrzeniowym i likwidacyjnym.",4
"Z biegiem czasu przeprowadzali coraz mniej działań zbrojnych, nastawiając się na tylko przetrwanie.",4
Broni używali tylko w razie konieczności.,4
"Przez blisko rok partyzanci chronili się w bunkrze na terenie powiatu działdowskiego, ukrywając się tam do jesieni 1952 r.",4
"Przedarcie przez ogień udało się jedynie Wacławowi Grabowskiemu, który wezwany do poddania się, zdecydował się popełnić samobójstwo.",1
"W młodości uprawiała m.in. szermierkę, pływanie, wioślarstwo, tenis, siatkówkę, koszykówkę i strzelanie z broni, lecz ostatecznie jej sercem zawładnęła inna dyscyplina – łucznictwo.",1
Kurkowska-Spychajowa zaczęła trenować łucznictwo w wieku 25 lat.,1
"Boy-Żeleński zajął się tłumaczeniem klasyki literatury francuskiej począwszy od dzieł najdawniejszych, takich jak Pieśń o Rolandzie czy Wielki Testament Villona, przez sztuki wielkich francuskich dramaturgów: Moliera, Racine’a czy Corneille’a i powieści XIX-wiecznych pisarzy, skończywszy na poezji i rozprawach filozoficznych Kartezjusza i Pascala.",1
Żeleński zajmował się także pisaniem tekstów satyrycznych i w 1907 r. podjął współpracę z kabaretem Zielony Balonik.,1
"Jednocześnie obok konserwatyzmu i pewnych braków w polskiej tradycji literackiej, Boy wyśmiewa także różnego rodzaju fascynacje niektórych twórców modernistycznych połączone niejednokrotnie z megalomanią.",1
Zajmował się także literaturoznawstwem i był autorem kilkunastu książek na temat polskiego romantyzmu oraz literatury ludowej.,1
"Autor tych słów nie miał pojęcia, że opisując umieranie ciała niebieskiego – przewidział los własny.",2
"Uczył się Umiński pilnie i sumiennie, w szczególności geografii, nauk przyrodniczych, techniki.",1
"W wieku 19 lat skonstruował miniaturę samolotu, którą puszczał z balkonu warszawskiego mieszkania.",2
"Po ukończeniu gimnazjum Umiński wyjechał do Petersburga, aby tam kontynuować naukę.",1
"Po maturze, której to świadectwo jak głosi anegdota podarł uznając swoje oceny za zaniżone, wyjechał do Berlina.",1
"W trakcie studiów poznał swoją żonę, niemiecką pianistkę z bogatego domu Margueritę Hasse.",2
W trakcie prac nad sposobem pomiaru szybkości tworzenia się roztopu kryształu metali omyłkowo zanurzył stalówkę swojego pióra w roztopionej cynie.,2
"Wyciągając je zauważył, iż za stalówką ciągnie się drobniutki drucik cyny.",2
Kierował tam z powodzeniem pracami nad otrzymaniem nowego bezcynowego stopu dla łożysk.,1
Jednak w 1928 r. na prośbę prezydenta Ignacego Mościckiego powraca do kraju i obejmuje specjalnie dla nie utworzoną Katedrę Metalurgii i Metaloznawstwa na Politechnice Warszawskiej.,1
W 1930 r. prezydent wręczył Czochralskiemu nominację profesorską.,1
Jednak najmocniejszy atak na naukowca przypuścił prof. Witold Broniewski zarzucając Czochralskiemu brak polskości i działalność na szkodę Polski.,1
"W okresie wojny przekształca swój Instytut w Zakład Badań Materiałów, który co prawda oficjalnie współpracuje z Wehrmachtem, ale wykonuje także w tajemnicy broń dla Armii Krajowej.",4
"Czochralski starał się sabotować zadania dla Niemców, a AK składał meldunki.",1
Wykorzystywał swoje niemieckie koneksje i małżeństwo z Niemką m.in. do wstawiennictwa za więzionymi przez Gestapo Polakami.,1
Mimo poważnych zarzutów Sąd Karny w Łodzi uniewinnił profesora.,4
"Nie przełożyło się to na postawę Senatu Politechniki Warszawskiej, który wykluczył Czochralskiego z grona wykładowców.",4
"Po takim odrzuceniu profesor powrócił do rodzinnej Kcyni, gdzie założył Zakłady Chemiczne „Bion”, które produkowały artykuły drogeryjne.",1
 W 1953 r. za dewizy sprzedał szwajcarskiej ambasadzie swoją warszawską willę.,1
W 2005 r. w Instytucie Pamięci Narodowej i Archiwum Akt Nowych dokonano kwerendy.,4
Wskutek takich wyników badań w dniu 29 czerwca 2011 r. Senat Politechniki Warszawskiej podjął uchwałę o przywróceniu dobrego imienia Czochralskiemu.,4
Jednocześnie władze uczelni w uchwale wezwały społeczność akademicką do podjęcia działań mających przypomnieć działalność i dokonania profesora.,4
"Do fali rehabilitacji naukowca dołączyli posłowie, którzy 7 grudnia 2012 r. podjęli uchwałę, w której ustanawiał rok 2013 Rokiem Jana Czochralskiego.",4
"Trzy lata później wyjechali do Stanów Zjednoczonych, gdzie nauczył się języka angielskiego, co ułatwiło mu późniejsze awanse.",1
"Powrócił do Polski, gdzie kontynuował naukę w Wyższym Studium Języków Obcych na Uniwersytecie Warszawskim.",1
"Dwa lata później pracował już dla Agencji Interpress, zajmując się obsługą zagranicznych mediów.",1
" Wchodząc w bliskie relacje z ówczesnym zwierzchnikiem agencji, płk Mirosławem Wojciechowskim, zapewnił sobie kolejne sukcesy.",1
"Kiedy pułkownik został szefem Radiokomitetu, Rywin również znalazł pracę w telewizji, szybko przejmując kierownicze stanowisko w biurze handlu zagranicznego, nawiązując później liczne znajomości za granicą.",1
W międzyczasie Rywin został prezesem Canal+.,1
Rywin złożył Adamowi Michnikowi otwartą propozycję.,1
"Michnik nagrał całą sytuację na dyktafonie kupionym przez redaktora Pawła Smoleńskiego, po czym o godz. 19.30 tego samego dnia doprowadził do wspólnej rozmowy z udziałem jego, premiera i Rywina w Kancelarii Premiera.",1
"Prezes TVP marzył według Rywina o prywatyzacji kanału 2 TVP, upatrując w tym swoich szans na biznes życia, Czarzasty z kolei chciał ułatwić rozwój oficyny wydawniczej Muza, której był współwłaścicielem.",1
"Dziesięciu posłów z przewodniczącym Tomaszem Nałęczem z Unii Pracy rozpoczęło wielomiesięczną pracę,  przesłuchując 50 świadków.",4
"Sam Kwaśniewski nie zgodził się na przesłuchanie go przez komisję w charakterze świadka, co jeszcze bardziej pobudzało domysły opozycji.",1
"Uśmiech na twarzy mógł wzbudzić nad wyraz kulturalny stosunek Michnika do przesłuchującej go komisji, który słuchał pytań na siedząco, a przy każdej odpowiedzi wstawał oraz próbował ośmieszyć posła Rokitę, nazywając go wielce czcigodnym posłem Rokitą Janem Marią.",1
"Nie sposób nie wspomnieć o wybuchu frustracji Leszka Millera, nazywającego Zbigniewa Ziobrę zerem.",1
Sejmowa komisja śledcza zakończyła swoją pracę 5 kwietnia 2004 r. przegłosowując raport przygotowany przez Anitę Błochowiak z SLD.,4
Sejmowa komisja śledcza zakończyła swoją pracę 5 kwietnia 2004 r. przegłosowując raport przygotowany przez Anitę Błochowiak z SLD.,4
"Raport końcowy komisji został jednak odrzucony przez Sejm, który 28 maja 2004 r. przegłosował stanowisko odrębne Zbigniewa Ziobry, czyniąc go swoim ostatecznym stanowiskiem.",4
"Kilkanaście godzin później, 1 września ok. godziny 23 na ul. Zorzy przyjechał syn zamordowanych - Jan Jaroszewicz, zaniepokojony faktem, iż rodzice przez kilka godzin nie odbierali telefonu.",2
" Policjanci zignorowali ponadto ślady na drzwiach i futrynie, przyjmując hipotezę, że zabójcy weszli do willi przez okno na pierwszym piętrze, mimo iż nie znaleziono dowodów na ich wspinanie się zarówno na ścianie, jak i na porastającej dom winorośli.",4
"Zbliżył się wtedy do Diany, ale w międzyczasie wiązał się z innymi kobietami.",1
"Wtedy to Karol zdecydował, że odpowiednią żoną dla niego będzie Diana Spencer.",1
"W lutym 1981 roku książę Karol oświadczył się Dianie na zamku Windsor, a zaręczyny zostały zaakceptowane przez królową Elżbietę II – choć jak mówiono – niechętnie.",1
"Lady Diana wydała na świat dwójkę dzieci – być może niewiele, lecz na całe szczęście dla Królewskiej Rodziny byli to chłopcy.",1
"Drugą kobietą w życiu księcia Karola była Camilla Parker-Bowles, z którą rozpoczął swój romans na początku lat 70.",1
"Mimo rozstania z mężem Diana kontynuowała swoje obowiązki księżnej, których podejmowała się jak zawsze z wielką satysfakcją.",1
"Diana również kochała ludzi, poświęciła się więc działalności dobroczynnej.",1
"Zbierała pieniądze na finansowanie badań raka piersi, wspomagała chorych na AIDS, a także interesowała się problemem min, które zagrażały nie tylko żołnierzom, ale przede wszystkim cywilom. W tym celu wybrała się nawet w podróż do Angoli wraz z Brytyjskim Czerwonym Krzyżem.",1
"Ostatnim mężczyzną, z którym związała się Diana, był producent filmowy Dodi Al-Fayed.",1
20 sierpnia 1971 roku w Warszawie zamordowano we własnym mieszkaniu Jana Gerharda.,1
"Sąd stwierdził, że morderstwa dokonano z premedytacją wyłącznie w celach rabunkowych i nie dopatrzył się okoliczności łagodzących.",4
Jan Gerhard uczestniczył podczas II wojny światowej we francuskim ruchu oporu.,1
"Tam zaczął posługiwać się pseudonimami „Jean„ i ”Gerhard”, które później przyjął jako nazwisko.",2
20 sierpnia 1971 roku około godziny 18.00 na milicję zadzwoniła Irena Tołczyńska (sekretarka tygodnika „Forum”) zaniepokojona nieobecnością w pracy redaktora naczelnego.,1
Do pracy przychodził zawsze o godzinie 15.00.,2
Nikogo wcześniej nie uprzedził o swojej nieobecności w pracy i nie otwierał drzwi swojego mieszkania.,2
W jednym z pokojów funkcjonariusz Wincenty Wisłocki znalazł zwłoki 50-letniego Gerharda.,2
"Śledczy kontrolowali rodzinę, sprawdzali notesy i korespondencję pisarza.",4
"Gerhard sprzeciwiał się również usuwaniu z wyższych stanowisk państwowych osób związanych ze środowiskiem syjonistycznym, podobno chciał opublikować artykuł wymierzony w środowisko skupione wokół Mieczysława Moczara.",1
"Początkowo był pilnym studentem, lecz gdy odnowił kontakty z Wojtasikiem zaczął mieć problemy z nauką i prawem.",1
"Małgorzatę Gerhard poznał w 1969 roku na wakacjach w Kołobrzegu, gdzie pracował jako ratownik.",2
